right_hand_up,right_hand_above_head,right_arm_stretched,right_cross_body,right_elbow_up,lean_left,lean_right,shoulder_slope,hip_slope,right_wrist_outside,right_hand_below_hip,Pose
0,0,1,0,0,0,1,-15.780221250876782,30.66070417647104,1,0,Backhand
0,0,1,0,0,0,1,-16.99399511181051,28.332939177446583,1,0,Backhand
0,0,0,0,0,0,1,-18.652246256100863,26.3834865688785,1,0,Backhand
0,0,0,0,0,0,0,-18.06113881560498,24.68052740146317,1,0,Backhand
0,0,0,0,0,0,0,-16.454534604963452,14.207525388565927,1,0,Backhand
0,0,0,0,0,0,0,-13.575551844955324,10.779199693938033,1,0,Backhand
0,0,0,0,0,0,0,-14.399603285107746,1.4876917757344166,1,0,Backhand
0,0,0,0,0,0,0,-16.069316582878027,-8.84448814135016,1,0,Backhand
0,0,0,0,0,0,0,-25.39673521588101,-7.615038592771215,1,0,Backhand
1,0,1,0,1,0,0,-37.27355428551622,-6.890258612348792,1,0,Backhand
1,0,1,0,1,0,0,-37.28146774516121,-4.816263517667678,1,0,Backhand
1,0,1,0,1,0,0,-30.28414897631671,-10.45337531481151,1,0,Backhand
0,0,1,0,0,0,0,-21.416172827165994,-5.792652867232339,1,0,Backhand
0,0,1,0,0,0,1,-22.287824106271252,-4.159306503827431,1,0,Backhand
0,0,1,0,0,0,1,-17.005166328047505,66.86427392579388,1,0,Backhand
0,0,1,0,0,0,1,-15.371186262148832,9.8241278303534,1,0,Backhand
0,0,0,0,0,0,0,-15.563589607123575,-6.52335878580977,1,0,Backhand
1,0,1,0,1,0,0,-40.5314927662277,-10.219119763674273,1,0,Backhand
0,0,1,0,0,0,1,-22.287824106271252,-4.159306503827431,1,0,Backhand
0,0,1,0,1,0,1,-59.68387665778292,20.91019249434705,1,0,Backhand
1,0,1,0,1,0,1,-22.287824106271252,-4.159306503827431,1,0,Backhand
1,0,1,0,1,0,1,-22.287824106271252,-4.159306503827431,1,0,Backhand
1,0,1,0,1,0,1,-22.287824106271252,-4.159306503827431,1,0,Backhand
1,0,1,0,1,0,1,-22.287824106271252,-4.159306503827431,1,0,Backhand
1,0,1,0,1,0,1,-22.287824106271252,-4.159306503827431,1,0,Backhand
1,0,1,0,1,0,1,-22.287824106271252,-4.159306503827431,1,0,Backhand
0,0,1,0,0,0,1,-22.287824106271252,-4.159306503827431,1,0,Backhand
0,0,1,0,0,0,0,-22.287824106271252,-4.159306503827431,1,0,Backhand
1,0,1,0,1,0,1,-22.287824106271252,-4.159306503827431,1,0,Backhand
0,0,0,0,0,0,0,-23.26860620417042,-4.159306503827431,1,0,Backhand
0,0,0,0,0,0,0,10.963477884644057,-43.442110402342955,1,0,Backhand
0,0,1,0,0,0,0,-22.287824106271252,-4.159306503827431,1,0,Backhand
1,0,1,0,1,0,0,-22.287824106271252,-4.159306503827431,1,0,Backhand
0,0,1,0,0,0,1,-43.85624656976205,-4.159306503827431,1,0,Backhand
0,0,1,0,0,0,1,-36.47578074224697,-4.159306503827431,1,0,Backhand
0,0,1,0,0,0,1,-34.93034676348614,1.7196078755027888,1,0,Backhand
1,0,1,0,1,0,1,-80.16592796393108,-10.791504314223573,1,0,Backhand
0,0,1,1,0,1,0,175.0145474136788,176.9809481621774,0,0,Forehand_Defense
0,0,1,1,0,1,0,158.06759449216474,175.64692099181352,0,0,Forehand_Defense
0,0,1,1,0,1,0,151.52518006387126,179.93889905183207,0,0,Forehand_Defense
0,0,1,1,0,1,0,137.24237979573832,177.88309491561964,0,0,Forehand_Defense
0,0,1,1,0,1,0,121.66508551398773,170.51961149411562,0,0,Forehand_Defense
0,0,1,1,0,1,0,139.6176094292524,166.94766257874747,0,0,Forehand_Defense
0,0,1,1,0,1,0,146.89990534716108,175.06539886859673,0,0,Forehand_Defense
0,0,1,1,0,1,0,152.1690220028026,170.4955441499219,0,0,Forehand_Defense
0,0,1,1,0,1,0,154.5676085521253,170.50757782201876,0,0,Forehand_Defense
0,0,1,1,0,1,0,133.14067895550565,170.51359465806718,0,0,Forehand_Defense
0,0,1,1,0,1,0,126.6564711423057,170.5166030760914,0,0,Forehand_Defense
0,0,1,1,0,1,0,120.75825327705881,166.28274755460976,0,0,Forehand_Defense
0,0,1,1,0,1,0,121.82258564780558,163.48144081295516,0,0,Forehand_Defense
0,0,1,1,0,1,0,120.42549958912183,164.2766984129025,0,0,Forehand_Defense
0,0,1,1,0,1,0,129.22025566427956,170.39150830995524,0,0,Forehand_Defense
0,0,1,1,0,1,0,158.0600237583429,169.10050943688486,0,0,Forehand_Defense
0,0,1,1,0,1,0,142.811576839253,178.0022917881732,0,0,Forehand_Defense
0,0,1,1,0,1,0,124.71521958075965,172.74038034439624,0,0,Forehand_Defense
0,0,1,1,0,1,0,124.2462459810319,170.47147680572814,0,0,Forehand_Defense
0,0,1,1,0,1,0,175.58106915401711,176.86720704403217,0,0,Forehand_Defense
0,0,1,1,0,1,0,171.06591502007572,175.60751722997057,0,0,Forehand_Defense
0,0,1,1,0,1,0,164.40436768483556,173.20616364367638,0,0,Forehand_Defense
0,0,1,1,0,1,0,138.44825165214672,168.2947275559676,0,0,Forehand_Defense
0,0,1,1,0,1,0,133.05465067621557,175.34323088024865,0,0,Forehand_Defense
0,0,1,1,0,1,0,134.7405362303745,179.1153655353737,0,0,Forehand_Defense
0,0,1,1,0,1,0,135.02685714226297,178.2484234506246,0,0,Forehand_Defense
0,0,1,1,0,1,0,137.9055806358075,179.79680570492218,0,0,Forehand_Defense
0,0,1,1,0,1,0,131.42426391230703,179.3426529282126,0,0,Forehand_Defense
0,0,1,1,0,1,0,121.72932078266916,167.87281071652902,0,0,Forehand_Defense
0,0,1,1,0,1,0,138.0920273839824,171.09511006890412,0,0,Forehand_Defense
0,0,1,1,0,1,0,160.40430040327124,174.3647951570939,0,0,Forehand_Defense
0,0,1,1,0,1,0,157.40392999318033,170.5181072851035,0,0,Forehand_Defense
0,0,1,1,0,1,0,148.02883485279415,170.51885938960956,0,0,Forehand_Defense
0,0,1,1,0,1,0,123.0110683867654,168.5651459460546,0,0,Forehand_Defense
0,0,1,1,0,1,0,115.20709720844921,154.9291166107582,0,0,Forehand_Defense
0,0,1,1,0,1,0,122.3621987418904,153.963775389389,0,0,Forehand_Defense
0,0,1,1,0,1,0,141.79776900752125,166.73161385956132,0,0,Forehand_Defense
0,0,1,1,0,1,0,172.4470626724173,170.99174464928853,0,0,Forehand_Defense
1,0,1,1,0,1,1,174.2756714790762,-169.24365854428262,0,0,Smash
1,0,1,1,0,1,1,161.57709666528012,173.16193615618965,0,0,Smash
1,1,1,1,1,1,1,-151.1404202419555,-168.23783594920343,0,0,Smash
1,1,1,1,1,1,1,-146.6680301734045,-164.7594109810511,0,0,Smash
1,1,1,1,1,0,1,117.83845922742722,-3.8419956329547844,0,0,Smash
1,0,1,1,0,1,1,130.29138726406524,150.33323400862045,0,0,Smash
1,1,1,1,1,1,1,153.658259552872,131.00731063837105,0,0,Smash
1,0,1,1,1,0,1,145.70489708351553,78.83539494543615,0,0,Smash
1,0,1,1,0,0,1,-178.13070895437355,165.39936444128114,0,0,Smash
1,0,1,1,0,1,1,175.86215609292418,157.91990366597184,0,0,Smash
1,1,1,1,1,0,1,-150.999289122854,173.55554848577626,0,0,Smash
1,1,1,1,1,0,1,-135.63731127112348,-177.2924770303657,0,0,Smash
1,1,1,1,1,1,1,-134.49246946017635,-167.7765119871602,0,0,Smash
1,1,1,1,1,0,1,-132.09804701383737,-164.18268856694925,0,0,Smash
1,0,1,1,0,1,1,164.28159977707924,-178.19924716995396,0,0,Smash
1,0,1,1,0,1,1,153.2466157676144,-171.93341118662568,0,0,Smash
1,0,1,1,0,1,1,130.8485488035805,-150.8016331811662,0,0,Smash
1,0,1,1,0,1,1,135.49542386415868,152.15425848611454,0,0,Smash
1,0,1,1,1,1,1,160.9755873349392,162.71204601257023,0,0,Smash
1,1,1,1,1,0,1,-148.3699591301275,178.41666057856685,0,0,Smash
1,1,1,1,1,0,1,-142.0799329010766,179.60370590811576,0,0,Smash
1,1,1,1,1,0,1,-138.16798049776074,-179.83133548596288,0,0,Smash
1,1,1,1,1,0,1,-135.53208397938357,-179.3230661295489,0,0,Smash
1,1,1,1,1,0,1,-134.67173725609697,-178.86857577496642,0,0,Smash
1,1,1,1,1,0,1,-134.77175626423912,-179.0373055905804,0,0,Smash
1,1,1,1,1,0,1,-134.62996625587988,-178.05399695327188,0,0,Smash
1,1,1,1,1,0,1,-134.70272786711953,-176.99920960026168,0,0,Smash
1,1,1,1,1,0,1,-134.27864099062663,-176.79920908046083,0,0,Smash
1,1,1,1,1,0,1,-134.84587822986109,-176.983447720226,0,0,Smash
1,1,1,1,1,0,1,-135.14857886371195,-176.23050552150877,0,0,Smash
1,1,1,1,1,0,1,-135.32884835066307,-175.90058680208878,0,0,Smash
1,1,1,1,1,0,1,-135.3141071075872,-176.22199388963884,0,0,Smash
1,1,1,1,1,0,1,-135.4594215825031,-177.1086170861034,0,0,Smash
1,1,1,1,1,0,1,-135.79235100880467,-177.1387424856018,0,0,Smash
1,0,1,1,0,1,1,164.0070932703823,178.88027909987971,0,0,Smash
